n,|M(A)|,D_ktA,|M(A)A|
14,2,89,0
14,1,134,0
14,3,107,0
14,3,125,0
14,1,121,0
14,3,135,0
14,9,137,0
14,1,149,0
14,2,149,0
14,1,110,0
14,1,117,0
14,8,149,0
14,7,146,0
14,3,127,0
14,2,93,0
14,9,112,0
14,3,134,0
14,1,141,0
14,1,121,0
14,9,129,0
14,5,151,0
14,6,128,0
14,3,133,0
14,3,161,0
14,6,137,0
14,3,116,0
14,1,123,0
14,1,130,0
14,7,143,0
14,1,127,0
14,10,105,0
14,2,95,0
14,4,155,0
14,1,158,0
14,1,150,0
14,5,148,0
14,8,140,0
14,3,113,0
14,3,117,0
14,2,132,0
14,1,117,0
14,8,126,0
14,1,119,0
14,1,163,0
14,5,111,0
14,5,109,0
14,1,97,0
14,1,159,0
14,7,102,0
14,1,110,0
14,5,140,0
14,4,124,0
14,1,148,0
14,6,156,0
14,1,136,0
14,10,124,0
14,5,119,0
14,1,149,0
14,3,134,0
14,4,103,0
14,2,118,0
14,3,142,0
14,3,105,0
14,8,130,0
14,1,120,0
14,1,112,0
14,3,150,0
14,2,130,0
14,2,135,0
14,1,136,0
14,8,159,0
14,12,122,0
14,3,150,0
14,4,114,0
14,15,138,0
14,2,130,0
14,1,123,0
14,2,149,0
14,3,125,0
14,14,150,0
14,4,149,0
14,4,124,0
14,4,105,0
14,12,118,0
14,1,110,0
14,13,132,0
14,2,128,0
14,3,104,0
14,1,116,0
14,1,150,0
14,1,125,0
14,2,145,0
14,2,143,0
14,9,121,0
14,2,126,0
14,1,96,0
14,1,149,0
14,2,107,0
14,4,130,0
14,4,141,0
